	Sentence	prediction	label
0	I am so happy	😌😁😎🙌😀😉😋😊	p
1	i love my life	😌😁😎🙌😀🏩💌🤟	p
2	i really like this sunshine	😁😂😌😅😎😉🙌😀	p
3	while doing sport i feel  free	😂😅😁😌😎😉🙌😀	p
4	i is terrible to learn when the weather is this good	😅😂😢😳😁😭😌🙅	n
5	i am almost crying when i run out of ice cream	😢😅😂😳🍨🍦🍧🏒	n
6	fuck off	😂😅😳😢😁😭😉😌	n
7	you are my best friend ever	😂😅😁😌😎😉🙌😀	p
8	i love my mommy	😌🙌😀😎😁🏩💌🤟	p
9	i prefer oral exams	😅😂😢😳😭😁😌😉	p
10	best cocktail is the mojito especial	😌😁😎😉😂🙌😀🍸	p
11	you got a beautiful wedding	🙌😌😀😎😊😁😋😍	p
12	you husband is this handsome	😌🙌😀😎😁😊😋😉	p
13	this is such a sneaky bitch	😂😅😢😳😁😉😌😭	n
14	you're kidding	😂😅😢😳😁😌😉😎	n
15	you are really too drunk	😅😂😢😳😭😔😁😌	n
16	you start being annoying	😅😢😂😳😭😔😁😌	n
17	i love my mac	😂😁😌😅😎🏩💌🤟	p
18	but it would be better if they are less expensive	😅😂😢😳😭😔😁😌	n
19	you are a bad friend	😅😂😢😳😭😔😁😌	n
20	I am in love with my new laptop	😂😅😁😌🏩💌🌚🤟	p
21	You piss me off	😂😅😳😢😁😉😭😌	n
22	I hate school	😢😅😭😳😂😔🏫🎒	n
23	I'm so mad at you	😂😅😳😢😁😭😉😌	n
24	Seeing you cry, makes me sad	😢😭😔😳😅😂😩😒	n
25	You are so lovely	🙌😀😊😋😌🏩💌🤟	p
26	Fish is disgusting	😅😢😂😳🐟🎣🐠🍥	n
27	At times I feel so depressed	😢😭😅😳😔😂😩😒	n
28	Summer makes me happy	😂😁😌😅😎😉🙌😀	p
29	I want to dance and sing aloud	😅😂😢😳😁😌😭😎	p
30	Everything will be ok	😂😅😁😉😌😎👌🙆	p
31	why are you upset?	😅😢😂😳😭😔😁😌	n
32	I dont like it when it rains	😅😂😢😳😭😔😁☔	n
33	I dont care at all	😅😂😢😳😭😁😔😌	n
34	you are such a bitch	😂😅😳😢😁😉😌😭	n
35	I dont understand what this is all about	😅😂😢😳😭😔😁😌	n
36	give me a break, idiot!	😂😅😢😳😭😁😉😌	n
37	please dont leave me	😅😂😢😳😭😔😁😌	n
38	I love cuddling with my dog	😂😅😁😌🐕🌭🏩💌	p
39	I want to die	😅😂😢😳😭😔😁🎲	n
40	that is really sad!	😢😭😔😅😳😂😩😒	n
41	why are you saying that, you moron!	😅😂😳😢😭😁😔😉	n
42	OMG! i love that cat soo much!	😂😅😁😌🐈🏩🐱💌	p
43	can you feel the love tonight	😌😁😂😎😅🏩💌🤟	p
44	i get so emotional when i watch lion king	😅😂😢😳😭😔⌚🦁	p
45	i really hate you	😢😭😅😔😳😂😩😒	n
46	that is disgusting	😢😅😭😳😂😔😁😩	n
47	my heart is broken	😅😂😢😳💔💓💗💑	n
48	i love these sunny days	😌😁😎🙌😀🏩💌🤟	p
49	this gave me positive feelings	😂😅😁😌😢😎😉😳	p
50	i am sick	😭😢😔😳😅😩😒😂	n
51	i am tired	😭😢😔😳😅😂😩😒	n
52	are you sick or tired?	😭😔😢😩😒😳😅😂	n
53	you are so cute and sweet	😌🙌😁😀😎😊😉🍠	p
54	i just lost my mind	😅😂😢😳😭😔😁😌	n
55	i hate all people	😢😅😭😳😂😔😁😩	n
56	you are just dumb	😅😂😢😳😭😔😁😌	n
57	i will get lucky	😌😁😎🙌😀😉😋😊	p
58	i like ice cream	😂😅😁😌🍨🍦🍧🏒	p
59	go home you idiot	😂😅😢😳😁😭😉😌	n
